"","Temperature","393b","method"
"436",88.5,1.43314807409829e-05,"Inner"
"437",88.6,3.49090569742744e-06,"Inner"
"438",88.7,-8.02159657045802e-06,"Inner"
"439",88.8,-1.42124657205606e-05,"Inner"
"440",88.9,-1.05576210496008e-05,"Inner"
"441",89,-1.01716924570696e-06,"Inner"
"442",89.1,7.41058577628612e-06,"Inner"
"443",89.2,8.02864608943007e-06,"Inner"
"444",89.3,7.87720513842378e-07,"Inner"
"445",89.4,-7.91371143859795e-06,"Inner"
"446",89.5,-1.14119969363347e-05,"Inner"
"447",89.6,-3.2079399364418e-06,"Inner"
"448",89.7,1.41076725672142e-05,"Inner"
"449",89.8,2.42842969697918e-05,"Inner"
"450",89.9,9.94518436043198e-06,"Inner"
"451",90,-4.56810741999225e-05,"Inner"
"452",45,-0.000117347803982116,"Outer"
"453",45.1,0.000200775046425633,"Outer"
"454",45.2,-1.04848621779044e-05,"Outer"
"455",45.3,-0.000340549481736539,"Outer"
"456",45.4,-0.000348615660141188,"Outer"
"457",45.5,6.70883925209437e-05,"Outer"
"458",45.6,0.000545337265672123,"Outer"
"459",45.7,0.000691581749375487,"Outer"
"460",45.8,0.000114373597093464,"Outer"
"461",45.9,-0.00102723797440573,"Outer"
"462",46,-0.00139473059249185,"Outer"
"463",46.1,0.000502715310671125,"Outer"
"464",46.2,0.00589882103128412,"Outer"
"465",46.3,0.0145542539253005,"Outer"
"466",46.4,0.0257059801520989,"Outer"
"467",46.5,0.0385903356475887,"Outer"
"468",46.6,0.0524145782981188,"Outer"
"469",46.7,0.0660652033733675,"Outer"
"470",46.8,0.0782296782397686,"Outer"
"471",46.9,0.0876184697023185,"Outer"
"472",47,0.0943471633914255,"Outer"
"473",47.1,0.100625278452917,"Outer"
"474",47.2,0.108832985167984,"Outer"
"475",47.3,0.121345328515534,"Outer"
"476",47.4,0.139143126629817,"Outer"
"477",47.5,0.159929804585235,"Outer"
"478",47.6,0.180938294669347,"Outer"
"479",47.7,0.199786842091221,"Outer"
"480",47.8,0.216537680851773,"Outer"
"481",47.9,0.232208273813887,"Outer"
"482",48,0.24781828565306,"Outer"
"483",48.1,0.264319500462857,"Outer"
"484",48.2,0.281819926273223,"Outer"
"485",48.3,0.299856065761087,"Outer"
"486",48.4,0.317958651486398,"Outer"
"487",48.5,0.336005355221717,"Outer"
"488",48.6,0.354438450257678,"Outer"
"489",48.7,0.373752056842444,"Outer"
"490",48.8,0.39443986565183,"Outer"
"491",48.9,0.416606144859238,"Outer"
"492",49,0.43924773393059,"Outer"
"493",49.1,0.461165936915486,"Outer"
"494",49.2,0.48135341773719,"Outer"
"495",49.3,0.500302651909182,"Outer"
"496",49.4,0.519213330781978,"Outer"
"497",49.5,0.53928930413138,"Outer"
"498",49.6,0.561583866032378,"Outer"
"499",49.7,0.585026967445937,"Outer"
"500",49.8,0.606977765627576,"Outer"
"501",49.9,0.624776844445792,"Outer"
"502",50,0.637414837294259,"Outer"
"503",50.1,0.646820315798753,"Outer"
"504",50.2,0.655224936366818,"Outer"
"505",50.3,0.664859411598668,"Outer"
"506",50.4,0.677101301588385,"Outer"
"507",50.5,0.690902854497097,"Outer"
"508",50.6,0.70478824829362,"Outer"
"509",50.7,0.717407308840405,"Outer"
"510",50.8,0.728508784192051,"Outer"
"511",50.9,0.738409513493284,"Outer"
"512",51,0.747431098813411,"Outer"
"513",51.1,0.755899325764421,"Outer"
"514",51.2,0.764207304900063,"Outer"
"515",51.3,0.772802502780727,"Outer"
"516",51.4,0.782131356523862,"Outer"
"517",51.5,0.792323095900403,"Outer"
"518",51.6,0.802888290419868,"Outer"
"519",51.7,0.81326606577018,"Outer"
"520",51.8,0.822895576218005,"Outer"
"521",51.9,0.8315022926655,"Outer"
"522",52,0.839801829949284,"Outer"
"523",52.1,0.848723689395117,"Outer"
"524",52.2,0.859106738206071,"Outer"
"525",52.3,0.87090299681028,"Outer"
"526",52.4,0.883562697409121,"Outer"
"527",52.5,0.896530369568868,"Outer"
"528",52.6,0.909279424942566,"Outer"
"529",52.7,0.921817032751217,"Outer"
"530",52.8,0.934620327338801,"Outer"
"531",52.9,0.948180697108041,"Outer"
"532",53,0.962672438738341,"Outer"
"533",53.1,0.977592121121158,"Outer"
"534",53.2,0.99234905185486,"Outer"
"535",53.3,1.00635257725049,"Outer"
"536",53.4,1.01939360842875,"Outer"
"537",53.5,1.03258149605136,"Outer"
"538",53.6,1.04731015564977,"Outer"
"539",53.7,1.0648163191304,"Outer"
"540",53.8,1.08479880538933,"Outer"
"541",53.9,1.10608631534248,"Outer"
"542",54,1.12749766317837,"Outer"
"543",54.1,1.14790170682719,"Outer"
"544",54.2,1.1670915779043,"Outer"
"545",54.3,1.1856739145246,"Outer"
"546",54.4,1.20428313187901,"Outer"
"547",54.5,1.22354543753335,"Outer"
"548",54.6,1.24364613537831,"Outer"
"549",54.7,1.26411523054671,"Outer"
"550",54.8,1.28442952068446,"Outer"
"551",54.9,1.30436285079488,"Outer"
"552",55,1.32482216363178,"Outer"
"553",55.1,1.34698453637884,"Outer"
"554",55.2,1.37202704621976,"Outer"
"555",55.3,1.4007021215581,"Outer"
"556",55.4,1.43107338395152,"Outer"
"557",55.5,1.46015521713111,"Outer"
"558",55.6,1.48508580408686,"Outer"
"559",55.7,1.50570274268781,"Outer"
"560",55.8,1.52443483481367,"Outer"
"561",55.9,1.54381542325105,"Outer"
"562",56,1.56635236846913,"Outer"
"563",56.1,1.59318610583935,"Outer"
"564",56.2,1.62342555703377,"Outer"
"565",56.3,1.65601478466164,"Outer"
"566",56.4,1.68993975797947,"Outer"
"567",56.5,1.72436307373366,"Outer"
"568",56.6,1.75849385529411,"Outer"
"569",56.7,1.79154122626474,"Outer"
"570",56.8,1.82309313707647,"Outer"
"571",56.9,1.85539885402939,"Outer"
"572",57,1.89184835176044,"Outer"
"573",57.1,1.93569232754161,"Outer"
"574",57.2,1.98659027936576,"Outer"
"575",57.3,2.04044301824623,"Outer"
"576",57.4,2.09297420451081,"Outer"
"577",57.5,2.13994346285367,"Outer"
"578",57.6,2.17956691546277,"Outer"
"579",57.7,2.21405068639136,"Outer"
"580",57.8,2.24596637028221,"Outer"
"581",57.9,2.27767181557319,"Outer"
"582",58,2.31052915787033,"Outer"
"583",58.1,2.34561081758692,"Outer"
"584",58.2,2.3839891825411,"Outer"
"585",58.3,2.42661680622476,"Outer"
"586",58.4,2.47350942535946,"Outer"
"587",58.5,2.52424200052329,"Outer"
"588",58.6,2.57838651307836,"Outer"
"589",58.7,2.63550280060511,"Outer"
"590",58.8,2.69513684190402,"Outer"
"591",58.9,2.75683385991579,"Outer"
"592",59,2.82013913624369,"Outer"
"593",59.1,2.88460319523674,"Outer"
"594",59.2,2.94978587263129,"Outer"
